Date Released,Song Title,Artist(s),Target(s),Year Released,lyrics
4-Mar-91,"""Fuck Compton""",Tim Dog,"DJ Quik, Michel'le, N.W.A, Compton, West Coast Rap, and Gangsta Rap",1991,"Oh shit mutherfuckas step to the rear and cheer
'Cause Tim Dog is here
Let's get down to the nitty gritty
And talk about a bullshit city
Talking about niggaz from Compton
They're no comp and they truly ain't stomping

Tim Dog a black man's task

I'm so bad I'll whip Superman's ass

All you suckers that rif on the West Coast

I'll dis and spray your ass like a roach

Ya think you're cool wit your curls and your shades

I'll roll thick and you'll be yelling raid

One hard brother that lives in New York

Where brothers are hard and we don't have to talk

Shut your mouth before we come out stomping

Hey, yo Eazy

Fuck Compton



(Why you dissing Eazy?)

'Cause the boy ain't shit

Chew him with tobacco, an' spit him in shit

I crush Ice Cube, I'm cool wit Ice T

But NWA ain't shit to me

Dre beating on Dee from Pump it Up

Step to the Dog and get fucked up

I'm simplistic, imperialistic, idealistic

And I'm kicking ballistics

Having that gang war

We want to know what you're fighting for

Fighting over colors?

All that gang shit is for dumb muthafuckas

But you go on thinking you're hard

Come to New York and we'll see who gets robbed

Take your jeri curls, take your black hats

Take your wack lyrics and your bullshit tracks

Now you're mad and you're thinking about stomping

Well I'm from the South Bronx

Fuck Compton



Tim Dog and I'm the best from the East

And all this Compton shit must cease

So keep your eyes on the prize and

Don't jeopardize my arrive 'cause that's not wise

You really think that you can rhyme

Well come and get some of this loaded tech-nine

Bo bo bo shots are cold gunning

And you'll really be a hundred miles and running

You wanna play go ride in a sleigh

I'm so large I fuck Michel le'

In the bathroom we was boning

You shoulda heard how the bitch was moaning

Do do do do dooo do do do do do do do

Shut the fuck up bitch, you can't sing

Ya sound like a kid playing on a swing (Fuck you)

I'm the man at hand to run the band

That's in command

You know who the fuck I am

Tim Dog, what's my muthafucking name

Tim Dog, that's my muthafucking game

So whether you think that I'm just a myth

That riff, the lift, the gift, the if, the fifth'

The shift, the spliff, that's in control, to hold

To fold, to bold and make an ache and take and fake

Wooh! and I'm still great



Fuck Compton"
1-May-91,"""Pop Goes the Weasel""",3rd Bass,Vanilla Ice,1991,"Antoine, Antoine's got something here
Ro-roll that window
We have to turn around because I want to shoot you
Park the limousine, in front of the swamp
Then I want to shoot you dauncing on the limousine
with the swamp in the background

It looks like you're in the jungle, okay?



Let's all sing, Pop Goes the Weasel!



[Pete Nice]

Pop goes the, pop goes the windin of the weasel

I see the empty pocket needs a refill



[MC Serch]

I got a squad with a list of complainers

I should have started RAPE:

Rappers Against Phony Entertainers

So we can make it known that we won't get swayed

It's ninety-one son, so somethin's gotta change



[Pete Nice]

Gettin paid to peddle sneakers and soda pop (pop pop pop)

Pop goes the weasel as drawers drop (drop drop dop)

Why not take your top ten pop hit

fix the music and make senseless ryhmes fit



[MC Serch]

I guess it's the fact that you can't be artistic

Intricate raps, becomin so simplistic

I gotta strong mind it doesn't have to be spoon-fed

And I can read what doesn't have to be read



[Pete Nice]

So some stay illiterate and feeble, legally licked

You go the ways of the weasel (the weasel)



[Chorus: 3rd Bass x2]



Pop Pop goes the weasel, the weasel [3X]

Pop goes the weasel, 'cuz the weasel goes pop



[MC Serch]

Hip-hop, got turned into hit pop

the second a record was number one on the pop charts

For those that get on heart that gotta in the ghetto

Let no one forget about the hard part

Now in ninety-one we got a new brand, a new band

lookin like the same old Klan

Same old theives that skeez so we gotta make sure

that real rap has got to endure



[Pete Nice]

Why score all my points in one peroid

Appearin in complex structure like a pyramid

The paper for the media presence

Ya learn lesson from the face of false legend

Stop vexin on the skills, ya ain't originate

The thin ice you skate upon will break and set ya straight

Ate up on the plate, now who's diesel

Not the weasel, not the weasel, pop goes the weasel



[Chorus]



[Serch] Ya stole somebody's record then ya looped it, ya looped it

[Pete] Ya boosted the record then ya looped it, ya looped it

[Serch] Aiyyo, I came from Cali, and they hooped it, they hooped it

[Pete] But now you're getting sued kinda stoopid



[MC Serch]

Boosted tracks get slaps, ya got no haps

to reach all four corners of the map

For kids in Kansas.. to those who speak Spanish

Doin crazy damage so the wack gets banished

Can't manage the truth until you buy a way

Ya ain't quick so ya switch off the exit from my highway

to rest but a crook, had to take a second look

Ever heard of a chef who can't cook?

But the Minister Prime can lay laws

Hey yo, Pete Nice, rip the mic and go for yours



[Pete Nice]

Goes for mine, I goes for mine

Find the Prime won't eat the green eggs and swine

On line like the Serch, in the hoody with the woody

Get a disc or tape, at Sam Goody

Why'd ya run through the doors some left open?

Ropin off the scenes of the crime smokin 

I got pub and I'ma nut like a SCUD see

Blowin up, like I'm throwin up a beef patty

Sell-outs run a bout like the measles

No cures, cause pop goes the weasels



[Chorus 2X]"
13-Aug-91,"""Word to the Badd!!""",Jermaine Jackson,Michael Jackson,1991,
17-Sep-91,"""Get in the Ring""",Guns N' Roses,"Music critics. Mentioned by name are critics from Hit Parader (Andy Secher), Circus, Kerrang! (Mick Wall) and Spin (Bob Guccione, Jr.).",1991,"Why do you look at me when you hate me
Why should I look at you when you
make me hate you too
I sense a smell of retribution in the air
I don't even understand why the fuck
you even care

And I don't need your jealousy yeah

Why drag me down in your misery

And when you stare you don't think I feel it

But I'm gonna deal it back to you in spades

When I'm havin' fun ya know I can't conceal it

'Cause I know you'd never cut it in my game

oh no

And when you're talkin' about a vasectomy

yeah

I'll be writin' down your obituary

History

You got your bitches with

the silicone injections

Crystal meth and yeast infections

Bleached blond hair, collagen lip projections

Who are you to criticize my intentions

Got your subtle manipulative devices

Just like you I got my vices

I got a thought that would be nice

I'd like to crush your head tight in my vice

Pain!!!

And that goes for all you punks in the press

That want to start shit by printin' lies

Instead of the things we said

That means you

Andy Secher at Hit Parader

Circus Magazine

Mick Wall at Kerrang

Bob Guccione Jr; at Spin

What you pissed off cuz your dad gets more

Pussy than you?

Fuck you

Suck my fuckin' dick

You be rippin' off the fuckin' kids

while they be payin' their hard earned

Money to read about the bands

they want to know about

Printin' lies startin' controversy

You wanta antagonize me

Antagonize me motherfucker

Get in the ring motherfucker

And I'll kick your bitchy little ass

Punk

I don't like you, I just hate you

I'm gonna kick your ass, oh yeah! oh yeah!

You may not like our integrity yeah

We built a world out of anarchy oh yeah

And in this corner weighing in at 850 pounds,

Guns N' Roses

Get in the ring

Yeah

Yeah this song is dedicated to

all the guns n' fuckin' roses

Fans who stuck with us through all the

fucking shit

And so all those opposed...

Hmm...well"
29-Oct-91,"""No Vaseline""",Ice Cube,"former N.W.A bandmates Eazy-E, Dr. Dre, MC Ren, DJ Yella and their manager, Jerry Heller",1991,"Got damn, I'm glad ya'll set it off.
Used to be hard, now you're just wet and soft.
First you was down with the AK,
and now I see you on a video with Michel'le?
Lookin' like straight bozos.
I saw it comin', that's why I went solo.

And kept on stompin',

when ya'll mothafuckers moved straight outta Compton.

Livin' with the whites, one big house,

and not another nigga in site.

I started off with too much cargo,

dropped four niggas now I'm makin' all the dough.

White man just rulin'.

The Niggas With Attitudes -- who ya foolin'?

Ya'll niggas just phony,

I put that on my mama and my dead homeys.

Yella Boy's on your team, so you're losin';

Ay yo Dre, stick to producin'.

Callin' me Arnold, but you Been-a-dick;

Eazy E saw your ass and went in it quick.

You got jealous when I got my own company,

but I'm a man, and ain't nobody helpin' me.

Tryin' to sound like Amerikkka's Most,

you could yell all day but you don't come close.

Cuz you know I'm the one that flown,

ya done run 100 miles, but you still got one to go.

With the L-E-N-C-H M-O-B, and ya'll disgrace the C-P-T.

Cuz you're gettin' fucked out your green by a white boy,

with no vaseline...



[Refrain]

[L.L. sample:] ""Now you're gettin' done without vaseline..."" [3x]

[Biz Markie sample:] ""Damn, it feels good to see people...on it""



The bigger the cap, the bigger the peelin',

who gives a fuck about a punk-ass villain?

You're gettin' fucked real quick,

and Eazy's dick, is smellin' like MC Ren's shit.

Tried to tell you a year ago,

but Willie D told me to let a hoe be a hoe, so

I couldn't stop you from gettin' ganked,

now let's play big-bank-take-little-bank.

Tried to dis Ice Cube, it wasn't worth it

cuz the broomstick fit your ass so perfect.

Cut my hair and I'll cut them balls,

cuz I heard you're, like, givin' up the drawers.

Gang-banged by your manager, fella,

gettin' money out your ass, like a mothafuckin' Ready Teller.

Givin' up the dollar bills,

now they got the Villain with a purse and high-heels.

So don't believe what Ren say,

cuz he's goin' out like Kunte Kinte,

but I got a whip for ya Toby;

used to be my homey, now you act like you don't know me.

It's a case of divide-and-conquer,

cuz you let a Jew break up my crew.

House nigga gotta run and hide,

yellin' Compton, but you moved to Riverside.

So don't front, MC Ren, cuz I remember when you drove a B 2-10.

Broke as a mothafuckin' joke.

Let you on the scene to back up the Verse Team.

It ain't my fault, one nigga got smart,

and they rippin' your asshole apart.

By takin' your green, oh yeah,

the Villain does get fucked with no vaseline.



[Refrain scratched]



I never have dinner with the President.

I never have dinner with the President.

I never have dinner with the President.

And when I see your ass again, I'll be hesitant.

Now I think you a snitch,

throw a house nigga in a ditch.

Half-pint bitch, fuckin' your homeboys.

You little maggot; Eazy E turned faggot.

With your manager, fella,

fuckin' MC Ren, Dr. Dre, and Yella.

But if they were smart as me,

Eazy E would be hangin' from a tree.

With no vaseline, just a match and a little bit of gasoline.

Light 'em up, burn 'em up, flame on...

till that Jheri curl is gone.

On a permanent vacation, off the Massa plantation.

Heard you both got the same bank account,

dumb nigga, what you thinkin' bout?

Get rid of that Devil real simple, put a bullet in his temple.

Cuz you can't be the Nigga 4 Life crew

with a white Jew tellin' you what to do.

Pullin' wools with your scams, now I gotta play the Silence of the Lambs.

With a midget who's a punk too,

tryin' to fuck me, but I'd rather fuck you.

Eric Wright, punk, always into somethin', gettin' fucked at night.

By Mista Shitpacker, bend over for the gotdamn cracker, no vaseline..."
9-Dec-91,"""Miserablism""",Pet Shop Boys,Morrissey,1991,"It seems to me there's something serious beginning
A new approach found to the meaning of life
Deny that happiness is open as an option
And disappointment disappears over night
Say that love is an impossible dream

Face the facts, that's what it's always been

Relax, what you see is what you've seen

What you get, is a new philosophy



(That's what you got, that's what you get)

(That's what you got, that's what you get)



Miserablism, is is and isn't isn't

Miserablism, is is and isn't isn't



Meanwhile your life is still directed as a drama

With realism on the sparsest of sets

Every performance tends to reach the same conclusion

No happy endings but a message to depress

Saying life is an impossible scheme

That's the point of this philosophy



Miserablism, is is and isn't isn't

Miserablism, is is and isn't isn't



But if is wasn't, and isn't were

You can't be sure, but you might find ecstasy



(Oh no)



Just for the sake of it, make sure you're always frowning

(get get get)

It shows the world that you've got substance and depth

You know, life is an impossible scheme

And love an imperceptible dream



(That's what you got, that's what you get)

(That's what you got, that's what you get)



Miserablism, is is and isn't isn't

Miserablism, is is and isn't isn't

Miserablism, is is and isn't isn't

Miserablism, is is and isn't isn't

Miserablism, is is and isn't isn't

Miserablism, is is and isn't isn't

Miserable"
15-Dec-92,"""Fuck wit Dre Day (And Everybody's Celebratin')""",Dr. Dre feat. Snoop Dogg,"Eazy-E, Tim Dog, and Luther (Luke) Campbell",1992,
26-Aug-93,"""Real Muthaphuckkin G's""",Eazy-E feat. Dresta and B.G. Knocc Out,"Former N.W.A bandmate Dr. Dre, his prot̩g̩ Snoop Dogg, and their record label Death Row Records",1993,
19-Oct-93,"""It's on""",Eazy-E,"Snoop Dogg, Dr. Dre and Tha Dogg Pound",1993,
23-Aug-94,"""What Would You Do?""",Tha Dogg Pound feat. Snoop Dogg,"B.G. Knocc Out, Dresta, Eazy-E, Cold 187um and Ruthless Records",1994,
